"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify that new employee successfully created under pim module","firefox","2026-06-25","skipped","2026-06-25","","pim-module.spec.js","",""
"","16803","Verify that user can log in with valid username and password","chromium","2026-06-25","failed","2026-06-25","","login-module.spec.js","",""
"","0","Verify that user can log in with valid username and password","webkit","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
"","21777","Verify that new employee successfully created under pim module","chromium","2026-06-25","passed","2026-06-25","","pim-module.spec.js","",""
"","0","Verify that user can not login with as invaliad Password","webkit","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
"","0","Verify that new employee successfully created under pim module","webkit","2026-06-25","skipped","2026-06-25","","pim-module.spec.js","",""
"","13325","Verify that user can not login with as invalid Username and Password","chromium","2026-06-25","passed","2026-06-25","","login-module.spec.js","",""
"","0","Verify that user can log in with valid username and password","firefox","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
"","0","Verify that user can not login with as invalid Username and Password","firefox","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
"","16198","global set up for auto login","setup","2026-06-25","passed","2026-06-25","","global.setup.js","",""
"","15435","Verify that user can not login with as invalid Username","chromium","2026-06-25","passed","2026-06-25","","login-module.spec.js","",""
"","13542","Verify that user can not login with as invaliad Password","chromium","2026-06-25","passed","2026-06-25","","login-module.spec.js","",""
"","3774","Verify that user can not login with as invaliad Password","firefox","2026-06-25","failed","2026-06-25","","login-module.spec.js","",""
"","0","Verify that user can not login with as invalid Username","webkit","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
"","0","Verify that user can not login with as invalid Username and Password","webkit","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
"","0","Verify that user can not login with as invalid Username","firefox","2026-06-25","skipped","2026-06-25","","login-module.spec.js","",""
